layer,ref,mentions,binding,sources,sample,ruling
or,12.08,7,0,17.zoning.txt,stall one street tree in accordance with OCMC 12.08 if,
or,16.44.050,7,0,16.22.residential.txt,Accessory dwelling units complying with Section 16.44.050,
or,16.50,7,0,16.63.land-divisions.txt 16.12.definitions.txt,"Development of public infrastructure, as required by the City, County, Special District, or Road Authority, as applicable. See Chapter 16.50.",
or,16.69.020,7,0,16.22.residential.txt 16.12.definitions.txt,"A business activity that is carried out on the same site as a dwelling unit, and which is accessory to the residential use on the site, subject to the provision",
or,19.155,7,0,19.140.txt 19.135.txt,"e. All buildings shall have their first floors occupied exclusively by commercial/office uses, except for the special “VC flex” area located on the extreme west",
or,19.800,7,0,19.300.base-zones.txt 19.500.supplementary.txt,"Nonconforming Uses, Structures, and Development. Existing structures and uses that do not meet the standards for the commercial mixed-use zones may continue in ",
or,19.911.3,7,0,19.500.supplementary.txt,"An applicant may request a variance to the Detailed Design standards in Subsection 19.505.1.C.4 through a Type II review, pursuant to Subsection 19.911.3.B. var",
or,33.299,7,0,33.110.txt 33.140.txt 33.120.txt 33.130.txt 33.150.txt,"5.                                                    Small wind turbines are subject to the standards of Chapter 33.299, Wind Turbines.",
or,5.0700,7,0,4.1500.springwater.txt 4.1400.pleasant-valley.txt,Section 5.0700 Natural Resource Overlay):,
or,50.02.002.2,7,0,50.03.002.use-table.txt 50.04.dimensional.txt,"[3]     If lot has multiple zones, e.g., R-0/EC, see LOC § 50.02.002.2.e.",
or,8.0200,7,0,4.1100.downtown.txt 4.1200.civic-neighborhood.txt 7.0500.rockwood-design.txt,"existence, subject to provisions of                             Section 8.0200 Existing and Non-Conforming Uses and Development.                          Specia",
or/clackamas/happy-valley,16.50,7,0,16.63.land-divisions.txt 16.12.definitions.txt,"Development of public infrastructure, as required by the City, County, Special District, or Road Authority, as applicable. See Chapter 16.50.",
or/clackamas/milwaukie,19.800,7,0,19.300.base-zones.txt 19.500.supplementary.txt,"Nonconforming Uses, Structures, and Development. Existing structures and uses that do not meet the standards for the commercial mixed-use zones may continue in ",
or/clackamas/milwaukie,19.911.3,7,0,19.500.supplementary.txt,"An applicant may request a variance to the Detailed Design standards in Subsection 19.505.1.C.4 through a Type II review, pursuant to Subsection 19.911.3.B. var",
or/clackamas/oregon-city,12.08,7,0,17.zoning.txt,stall one street tree in accordance with OCMC 12.08 if,
or/multnomah/gresham,5.0700,7,0,4.1500.springwater.txt 4.1400.pleasant-valley.txt,Section 5.0700 Natural Resource Overlay):,
or/multnomah/portland,17.102.270,7,0,33.110.txt 33.100.txt 33.120.txt 33.130.txt 33.140.txt 33.150.txt,"See Section 17.102.270, Businesses and Multifamily Complexes Required to Recycle, of the Portland",
or/multnomah/portland,24,7,0,33.100.txt 33.110.txt 33.120.txt 33.130.txt 33.140.txt 33.150.txt 33.910.definitions.txt,"Regulations. The use of barbed wire is regulated under Title 24, Building Regulations.",
or,1105,6,0,zdo.1012.txt zdo.315.txt,"Middle housing dwelling units; however, middle housing land divisions are permitted pursuant to Section 1105, Subdivisions, Partitions, Replats, Middle Housing ",
or,12.16,6,0,19.500.supplementary.txt 19.200.definitions.txt,"means the portion of the accessway located within the public right-of-way. The driveway approach consists of the driveway apron, wings, and sidewalk Section. Se",
or,13.12,6,0,17.zoning.txt,sign Standards as referenced in OCMC 13.12.,
or,16.2,6,0,16.63.land-divisions.txt,"Potential future lot division(s), consistent with the density and lot size standards of Article 16.2;",
or,16.41,6,0,16.63.land-divisions.txt 16.12.definitions.txt,"The classification given to streets by the road authority (e. g., ""local/collector/arterial""). See Chapter 16.41 and the City's Transportation System Plan for s",
or,16.50.030,6,0,16.63.land-divisions.txt 16.12.definitions.txt,A path that is utilized primarily for pedestrian access. (See Section 16.50.030(B)(8)(d).),
or,19.163,6,0,19.70.txt 19.80.txt 19.30.txt 19.65.txt,"C. Setback Exceptions. The following architectural features are allowed to encroach into the setback yards: Eaves, chimneys, bay windows, overhangs, and similar",
or,19.163.030,6,0,19.65.txt,ii. Improvements in the Setback Between a Building and a Street Lot Line. The land between any building and a street lot line must be landscaped to at least the,
or,19.165,6,0,19.13.definitions.txt 19.70.txt 19.65.txt 19.80.txt,“Public facilities” means public and private transportation facilities and utilities. See Chapter 19.165 FMC.,
or,19.480,6,0,19.135.txt 19.30.txt 19.65.txt 19.70.txt 19.80.txt 19.85.txt,a. Uses similar to those listed above                                                                                                                           ,
or,19.907,6,0,19.500.supplementary.txt 19.300.base-zones.txt,"Existing structures and uses that do not meet the standards for the downtown zones may continue in existence. Alteration or expansion of a nonconforming use, st",
or,2.040,6,0,rldo.composite.txt,"July 7, 1997                – Section 2.040(h)",
or,49,6,0,16.12.definitions.txt 33.910.definitions.txt,"Hazardous Materials Table, in the Code of Federal Regulations (CFR), Title 49, Part 172.101.",
or,5.400,6,0,08.r-40.txt 09.r-20.txt 10.r-15.txt 11.r-10.txt 12.r-7.txt 13.r-5.txt,"4. Agricultural or horticultural use; provided, that no retail or wholesale business sales office is maintained on the premises; and provided, that poultry or l",
or,50.06.001.5,6,0,50.04.dimensional.txt,"[Cross-Reference: Height Limitation: see Charter Section 46A for 50 ft. Maximum Height of Structures in Residential Areas; LOC § 50.04.003.4, General Exception ",
or,640,6,0,240.200.txt 230.200.txt 235.200.txt 250.200.txt 260.200.txt,C. Prohibited Uses. Uses shown in Table 230-1 with the letter “N” are prohibited in the zone. Legally established uses and development which existed at the time,
or,7.0210,6,0,4.0200.commercial.txt 4.0400.corridor.txt 4.1100.downtown.txt 4.1200.civic-neighborhood.txt 4.1500.springwater.txt 7.0500.rockwood-design.txt,applicable requirements of Section 4.0230                                                             Commercial Land Use District Standards; Section 7.0210    ,
or,845.04,6,0,zdo.845.txt,Garages: Each dwelling may have a maximum of 200 square feet for an attached garage that is not included in the maximum ground floor area permitted pursuant to ,
or,9.63.090,6,0,4.0200.commercial.txt 4.0300.industrial.txt 4.0400.corridor.txt 4.1200.civic-neighborhood.txt 4.1400.pleasant-valley.txt 4.1500.springwater.txt,"12.     For limitations, see GRC 9.63.090.",
or/clackamas/_unincorporated,845.04,6,0,zdo.845.txt,Garages: Each dwelling may have a maximum of 200 square feet for an attached garage that is not included in the maximum ground floor area permitted pursuant to ,
or/clackamas/happy-valley,16.2,6,0,16.63.land-divisions.txt,"Potential future lot division(s), consistent with the density and lot size standards of Article 16.2;",
or/clackamas/happy-valley,16.41,6,0,16.63.land-divisions.txt 16.12.definitions.txt,"The classification given to streets by the road authority (e. g., ""local/collector/arterial""). See Chapter 16.41 and the City's Transportation System Plan for s",
or/clackamas/happy-valley,16.50.030,6,0,16.63.land-divisions.txt 16.12.definitions.txt,A path that is utilized primarily for pedestrian access. (See Section 16.50.030(B)(8)(d).),
or/clackamas/milwaukie,12.16,6,0,19.500.supplementary.txt 19.200.definitions.txt,"means the portion of the accessway located within the public right-of-way. The driveway approach consists of the driveway apron, wings, and sidewalk Section. Se",
or/clackamas/milwaukie,19.907,6,0,19.500.supplementary.txt 19.300.base-zones.txt,"Existing structures and uses that do not meet the standards for the downtown zones may continue in existence. Alteration or expansion of a nonconforming use, st",
or/clackamas/oregon-city,13.12,6,0,17.zoning.txt,sign Standards as referenced in OCMC 13.12.,
or/clackamas/rivergrove,2.040,6,0,rldo.composite.txt,"July 7, 1997                – Section 2.040(h)",
or/clackamas/rivergrove,8.030,6,0,rldo.composite.txt,required by Sections 8.030 and 8.050.  The applicant shall provide a list of abutting,
or/clackamas/west-linn,5.400,6,0,08.r-40.txt 09.r-20.txt 10.r-15.txt 11.r-10.txt 12.r-7.txt 13.r-5.txt,"4. Agricultural or horticultural use; provided, that no retail or wholesale business sales office is maintained on the premises; and provided, that poultry or l",
or/multnomah/_unincorporated,33.258,6,0,33.100.txt 33.110.txt 33.140.txt,"categories listed as prohibited may be subject to the regulations of Chapter 33.258,",
or/multnomah/_unincorporated,33.266,6,0,33.110.txt 33.140.txt 33.100.txt,"as stated in Chapter 33.266, Parking and Loading.",
or/multnomah/fairview,19.165,6,0,19.13.definitions.txt 19.70.txt 19.65.txt 19.80.txt,“Public facilities” means public and private transportation facilities and utilities. See Chapter 19.165 FMC.,
or/multnomah/gresham,7.0210,6,0,4.0200.commercial.txt 4.0400.corridor.txt 4.1100.downtown.txt 4.1200.civic-neighborhood.txt 4.1500.springwater.txt 7.0500.rockwood-design.txt,applicable requirements of Section 4.0230                                                             Commercial Land Use District Standards; Section 7.0210    ,
or/multnomah/gresham,9.63.090,6,0,4.0200.commercial.txt 4.0300.industrial.txt 4.0400.corridor.txt 4.1200.civic-neighborhood.txt 4.1400.pleasant-valley.txt 4.1500.springwater.txt,"12.     For limitations, see GRC 9.63.090.",
or/multnomah/portland,33.445,6,0,33.100.txt 33.110.txt 33.120.txt 33.130.txt 33.140.txt 33.150.txt,"B.                                                Historic resources. Demolition of historic resources is regulated by Chapter 33.445, Historic",
or,10.1520,5,0,4.0100.residential.txt 4.0400.corridor.txt 4.1100.downtown.txt 4.1400.pleasant-valley.txt,with Section 10.1520                                            of the Community Development Code.,
or,106,5,0,zdo.315.txt 25.willamette-historic.txt 4.1100.downtown.txt,"In the PMD District, uses similar to one or more of the listed uses for the PMD District may be authorized pursuant to Section 106, Authorizations of Similar Us",
or,1203,5,0,zdo.1012.txt zdo.315.txt,"The proposed lot size requires approval pursuant to Section 1203, Conditional Uses. However, approval pursuant to Section 1203 does not waive the requirement to",
or,1204,5,0,zdo.1012.txt zdo.315.txt zdo.202.definitions.txt,"Except for middle housing land divisions approved pursuant to Section 1105, Subdivisions, Partitions, Replats, Middle Housing Land Divisions, Condominium Plats,",
or,16.12.035,5,0,17.zoning.txt,1. All driveways shall comply with OCMC 16.12.035.,
or,16.32,5,0,16.12.definitions.txt 16.63.land-divisions.txt 16.42.landscaping.txt,"The ""slope"" of a lot is calculated pursuant to Chapter 16.32.",
or,16.43,5,0,16.12.definitions.txt,"The area available for the maneuvering and standing of vehicles engaged in delivering and loading goods, freight, or other articles. See also Chapter 16.43, Par",
or,16.61,5,0,16.22.residential.txt 16.12.definitions.txt 16.63.land-divisions.txt,An action or decision that requires substantial discretion or judgment in applying the standards or criteria of this Code to the facts of a development proposal,
or,16.72,5,0,16.12.definitions.txt,"A use that physically left the land it was on, a permitted use that ceased, or a use terminated at the end of a lease or contract. See Chapter 16.72, Nonconform",
or,19.1005,5,0,19.500.supplementary.txt,"Maximum height 6 ft. No electrified wire is permitted. Barbed or razor wire may be permitted for security purposes on top of a maximum height fence, following a",
or,19.402,5,0,19.200.definitions.txt,"means any ""water quality resource"" or ""habitat Conservation area"" as defined in Section 19.201 and established in Section 19.402.",
or,19.910.1,5,0,19.300.base-zones.txt 19.500.supplementary.txt,Accessory dwelling unit                                                                                       P                                                 ,
or,2.010,5,0,rldo.composite.txt 3.zoning-districts.txt,"Section 2.010.  Scope and Compliance.  A parcel of land may be used, developed by land division",
or,220.400,5,0,210.310.txt 210.375.txt 220.310.txt 220.320.txt 220.355.txt,*See Section 220.400 for additional standards and requirements on cottage housing.,
or,24.85,5,0,33.120.txt 33.130.txt,standard as defined in City of Portland Title 24.85;,
or,30,5,0,33.110.txt 33.120.txt,median family income or an affordability level established by Title 30 is stated in Table,
or,33.236,5,0,33.110.txt 33.140.txt 33.120.txt,(See Chapter 33.236)                                                               Yes                                  Yes                                   Ye,
or,33.245.050,5,0,33.140.txt 33.120.txt 33.130.txt 33.150.txt,33.245.040 and 33.245.050. The amount of bonus floor area allowed is an,
or,33.251,5,0,33.110.txt 33.120.txt 33.266.txt,(See Chapter 33.251)                                                               Yes                                  Yes                                   Ye,
or,39.7710,5,0,39.cfu.txt 39.mua-20.txt 39.oci.txt 39.or.txt 39.rural-residential.txt,as described in MCC 39.7710(B) pursuant to the,
or,5.050,5,0,rldo.composite.txt,Section 5.050.  Permitted Uses.  The following developments are permitted.  Uses not listed here,
or,5.080,5,0,rldo.composite.txt,"March 2, 1998            – Section 5.080",
or,50.05.010,5,0,50.04.dimensional.txt,"For projects on properties subject to a Sensitive Lands designation, lot areas may be modified as provided in LOC § 50.05.010, Sensitive Lands Overlay Districts",
or,6.060,5,0,rldo.composite.txt,(b)       With the approval of the City Council under the procedure set out in Section 6.060,
or,6.200,5,0,4.planning.txt rldo.composite.txt,Section 6.200.  Approval Signatures for Final Subdivision Plat.  Following review and approval of,
or,660,5,0,39.cfu.txt 17.06.definitions.txt 220.320.txt 39.efu.txt,"“Middle housing” means duplex, triplex, quadplex, cottage cluster, or townhouse in the R-5 or R-7.2 zone and is subject to OAR Chapter 660, Division 46, Middle ",
or,7.0212,5,0,4.0200.commercial.txt 4.0300.industrial.txt 4.1100.downtown.txt 4.1200.civic-neighborhood.txt 7.0500.rockwood-design.txt,"Section 7.0212 – Standards for New Solid Waste and Recycling; Section 7.0310                                     – Commercial, Institutional,",
or,9.0700,5,0,4.0100.residential.txt 4.1100.downtown.txt 4.1200.civic-neighborhood.txt 7.0500.rockwood-design.txt,"serve future development.                 Implementation of a Future Street Plan, pursuant to Section 9.0700,",
or,9.0823,5,0,7.0500.rockwood-design.txt 4.0400.corridor.txt 4.1100.downtown.txt 4.1200.civic-neighborhood.txt,"building, in a manner which satisfies provisions of Section 9.0823         .C.3 and 9.0823.C.4.",
or,9.1000,5,0,3.0100.definitions.txt 4.1100.downtown.txt 4.1200.civic-neighborhood.txt 7.0500.rockwood-design.txt,"having unique importance, and subject to the Significant Tree Regulations of Section 9.1000, Tree",
or/clackamas/_unincorporated,1203,5,0,zdo.1012.txt zdo.315.txt,"The proposed lot size requires approval pursuant to Section 1203, Conditional Uses. However, approval pursuant to Section 1203 does not waive the requirement to",
or/clackamas/happy-valley,16.43,5,0,16.12.definitions.txt,"The area available for the maneuvering and standing of vehicles engaged in delivering and loading goods, freight, or other articles. See also Chapter 16.43, Par",
or/clackamas/happy-valley,16.72,5,0,16.12.definitions.txt,"A use that physically left the land it was on, a permitted use that ceased, or a use terminated at the end of a lease or contract. See Chapter 16.72, Nonconform",
or/clackamas/lake-oswego,50.05.010,5,0,50.04.dimensional.txt,"For projects on properties subject to a Sensitive Lands designation, lot areas may be modified as provided in LOC § 50.05.010, Sensitive Lands Overlay Districts",
or/clackamas/milwaukie,19.1005,5,0,19.500.supplementary.txt,"Maximum height 6 ft. No electrified wire is permitted. Barbed or razor wire may be permitted for security purposes on top of a maximum height fence, following a",
or/clackamas/oregon-city,16,5,0,17.zoning.txt,OCMC Title 16 or 17.,
or/clackamas/oregon-city,16.12.035,5,0,17.zoning.txt,1. All driveways shall comply with OCMC 16.12.035.,
or/clackamas/rivergrove,6.060,5,0,rldo.composite.txt,(b)       With the approval of the City Council under the procedure set out in Section 6.060,
or/multnomah/_unincorporated,33.274,5,0,33.140.txt 33.100.txt 33.110.txt,right. See Chapter 33.274.,
or/multnomah/_unincorporated,39.7710,5,0,39.cfu.txt 39.mua-20.txt 39.oci.txt 39.or.txt 39.rural-residential.txt,as described in MCC 39.7710(B) pursuant to the,
or/multnomah/fairview,92,5,0,19.13.definitions.txt,“Lot” means a lot is a unit of land that is created by a subdivision of land (See ORS Chapter 92). A lot or parcel under the same ownership.,
or/multnomah/gresham,11,5,0,7.0500.rockwood-design.txt 4.1100.downtown.txt 4.1200.civic-neighborhood.txt 4.1500.springwater.txt,Article 11).,
or/multnomah/gresham,7.0212,5,0,4.0200.commercial.txt 4.0300.industrial.txt 4.1100.downtown.txt 4.1200.civic-neighborhood.txt 7.0500.rockwood-design.txt,"Section 7.0212 – Standards for New Solid Waste and Recycling; Section 7.0310                                     – Commercial, Institutional,",
or/multnomah/gresham,9.0700,5,0,4.0100.residential.txt 4.1100.downtown.txt 4.1200.civic-neighborhood.txt 7.0500.rockwood-design.txt,"serve future development.                 Implementation of a Future Street Plan, pursuant to Section 9.0700,",
or/multnomah/gresham,9.0823,5,0,7.0500.rockwood-design.txt 4.0400.corridor.txt 4.1100.downtown.txt 4.1200.civic-neighborhood.txt,"building, in a manner which satisfies provisions of Section 9.0823         .C.3 and 9.0823.C.4.",
or/multnomah/gresham,9.1000,5,0,3.0100.definitions.txt 4.1100.downtown.txt 4.1200.civic-neighborhood.txt 7.0500.rockwood-design.txt,"having unique importance, and subject to the Significant Tree Regulations of Section 9.1000, Tree",
or/multnomah/portland,24.85,5,0,33.120.txt 33.130.txt,standard as defined in City of Portland Title 24.85;,
or/multnomah/portland,26,5,0,33.100.txt 33.110.txt 33.120.txt 33.130.txt 33.140.txt,"D.                                            Reference to other regulations. Electrified fences are regulated under Title 26, Electrical",
or/multnomah/portland,33.299,5,0,33.110.txt 33.120.txt 33.130.txt 33.140.txt 33.150.txt,"5.                                                    Small wind turbines are subject to the standards of Chapter 33.299, Wind Turbines.",
or,004,4,0,39.rural-residential.txt 39.mua-20.txt 39.or.txt,"660, Division 004;",
or,16.45,4,0,16.12.definitions.txt,"For the purposes of Chapter 16.45, any written or graphic information on a sign.",
or,16.71,4,0,16.22.residential.txt 16.12.definitions.txt 16.63.land-divisions.txt,An administrative or quasi-judicial decision to lessen or otherwise modify the requirements of this title. (See Chapter 16.71.),
or,17.38,4,0,17.06.definitions.txt 17.10.r-7.2.txt 17.12.r-5.txt 33.266.txt,“Residential planned unit development” means a residential (R) planned unit development as allowed under GMC Chapter 17.38 (Planned Unit Development) and is at ,
or,19.611.4,4,0,19.300.base-zones.txt,Subsection 19.611.4 incentives for Provision of Structured Parking,
or,19.903,4,0,19.300.base-zones.txt 19.500.supplementary.txt,"Uses allowed, either allowed by right or conditionally, in the moderate density residential zones are listed in Table 19.301.2 below. Similar uses not listed in",
or,19.906,4,0,19.300.base-zones.txt 19.500.supplementary.txt,"Nonconforming Uses, Structures, and Development. Existing structures and uses that do not meet the standards for the commercial mixed-use zones may continue in ",
or,19.911.6,4,0,19.300.base-zones.txt,Subsection 19.911.6 Building Height Variance in the Downtown Mixed Use Zone,
or,19.911.7,4,0,19.300.base-zones.txt 19.500.supplementary.txt,Subsection 19.911.7 Building Height Variance in the General Mixed Use Zone,
or,29,4,0,33.910.definitions.txt 33.266.txt 39.2000.definitions.txt,"to MCC Chapter 29, certifying compliance with",
or,33.677.300,4,0,33.110.txt,"through a property line adjustment under 33.677.300.A.4. or 33.677.300.C. are 36 ft. wide and 1,600",
or,39.3120,4,0,39.oci.txt 39.or.txt,"(A) Except as provided in MCC 39.3120,",
or,39.3140,4,0,39.lr-10.txt 39.lr-5.txt 39.lr-7.txt 39.mr-4.txt,(A) Except as provided in MCC 39.3140(B),
or,46A,4,0,50.04.dimensional.txt,[Cross-References: Height Limitation: see Charter Section 46A for 50 ft. Maximum Height of Structures in Residential Areas; Height Measure: see LOC § 50.04.003.,
or,50.04.003.1,4,0,50.04.dimensional.txt,The following dimensional regulations apply to the base zones as identified in each table. These dimensions may have exceptions or modifications as identified i,
or,52.109,4,0,02.definitions.txt,City sign. Signs which are erected and maintained by the City. This shall include temporary signs which are specifically approved by the City for placement in t,
or,571.3,4,0,16.12.definitions.txt 33.910.definitions.txt,A motor vehicle designed to carry ten persons or less including the driver. Passenger vehicles are passenger cars and multipurpose passenger vehicles as defined,
or,6.232,4,0,rldo.composite.txt,established in Section 6.232.  A development permit for multi-family housing units and for area,
or,703,4,0,zdo.1012.txt,"The floodway of the Floodplain Management District regulated by Section 703, Floodplain Management District;",
or,800,4,0,zdo.315.txt zdo.1012.txt,"If a minimum lot size for the conditional use is established by Section 800, Special Use Requirements, it remains applicable.",
or,9.030,4,0,rldo.composite.txt,"November 3, 1997      – Section 9.030",
or/clackamas/_unincorporated,703,4,0,zdo.1012.txt,"The floodway of the Floodplain Management District regulated by Section 703, Floodplain Management District;",
or/clackamas/happy-valley,16.45,4,0,16.12.definitions.txt,"For the purposes of Chapter 16.45, any written or graphic information on a sign.",
or/clackamas/happy-valley,16.71,4,0,16.22.residential.txt 16.12.definitions.txt 16.63.land-divisions.txt,An administrative or quasi-judicial decision to lessen or otherwise modify the requirements of this title. (See Chapter 16.71.),
or/clackamas/lake-oswego,50.04.003.1,4,0,50.04.dimensional.txt,The following dimensional regulations apply to the base zones as identified in each table. These dimensions may have exceptions or modifications as identified i,
or/clackamas/milwaukie,19.611.4,4,0,19.300.base-zones.txt,Subsection 19.611.4 incentives for Provision of Structured Parking,
or/clackamas/milwaukie,19.906,4,0,19.300.base-zones.txt 19.500.supplementary.txt,"Nonconforming Uses, Structures, and Development. Existing structures and uses that do not meet the standards for the commercial mixed-use zones may continue in ",
or/clackamas/milwaukie,19.911.6,4,0,19.300.base-zones.txt,Subsection 19.911.6 Building Height Variance in the Downtown Mixed Use Zone,
or/clackamas/milwaukie,19.911.7,4,0,19.300.base-zones.txt 19.500.supplementary.txt,Subsection 19.911.7 Building Height Variance in the General Mixed Use Zone,
or/clackamas/rivergrove,2.010,4,0,rldo.composite.txt,"Section 2.010.  Scope and Compliance.  A parcel of land may be used, developed by land division",
or/clackamas/rivergrove,6.232,4,0,rldo.composite.txt,established in Section 6.232.  A development permit for multi-family housing units and for area,
or/clackamas/rivergrove,8.150,4,0,rldo.composite.txt,appeal the decision pursuant to Sections 8.150 to 8.210.,
or/clackamas/rivergrove,9.030,4,0,rldo.composite.txt,"November 3, 1997      – Section 9.030",
or/clackamas/west-linn,32,4,0,02.definitions.txt,"Maximum disturbed area (MDA). The MDA, as measured in square feet, is the maximum area within a WRA that can be disturbed in hardship cases under Chapter 32 CDC",
or/clackamas/west-linn,52.109,4,0,02.definitions.txt,City sign. Signs which are erected and maintained by the City. This shall include temporary signs which are specifically approved by the City for placement in t,
or/multnomah/_unincorporated,17.102.270,4,0,33.110.txt 33.100.txt 33.140.txt,"See Section 17.102.270, Businesses and Multifamily Complexes Required to Recycle, of the Portland",
or/multnomah/_unincorporated,32,4,0,33.110.txt 33.100.txt 33.140.txt,"The sign regulations are stated in Title 32, Signs and Related Regulations.",
or/multnomah/_unincorporated,33.920,4,0,33.140.txt 33.100.txt 33.110.txt,•                                               The use categories are described in Chapter 33.920.,
or/multnomah/_unincorporated,33.930,4,0,33.110.txt 33.140.txt,"stated in Chapter 33.930, Measurements. In addition, the alternative height and",
or/multnomah/portland,33.245.050,4,0,33.120.txt 33.130.txt 33.140.txt 33.150.txt,"of 33.245.040 and 33.245.050. To qualify for this bonus, the applicant must",
or,10.0200,3,0,4.0100.residential.txt,4.                                     See Section 10.0200                      for setbacks of detached accessory structures and for setbacks of attached and d,
or,10.32,3,0,17.zoning.txt,traffic sight obstruction requirements in Chapter 10.32 of,
or,1003,3,0,zdo.1012.txt,"Mass movement hazards regulated by Section 1003, Hazards to Safety;",
or,15.28,3,0,17.10.r-7.2.txt 17.12.r-5.txt 17.zoning.txt,"(6) Storage. Storage of boats, trailers, pickup campers, coaches, motorhomes and similar recreation equipment. Occupancy of such equipment is subject to a tempo",
or,16.3,3,0,16.63.land-divisions.txt,"Natural resource areas, including wetland areas, streams, wildlife habitat, and other areas identified by the City or natural resource regulatory agencies as re",
or,16.4,3,0,16.63.land-divisions.txt 16.22.residential.txt,The procedures and application requirements under Chapter 16.63 (Land Divisions and Property Line Adjustments) and Article 16.4 (Community Design Standards) sha,
or,16.44.080,3,0,16.22.residential.txt,2       Neighborhood commercial uses subject to the provisions of Section 16.44.080.,
or,16.50.080,3,0,16.63.land-divisions.txt 16.42.landscaping.txt,"Final public infrastructure inspection and authorization to submit building permits may occur prior to the landscaping requirements having been met, provided th",
or,16.51,3,0,16.12.definitions.txt,"For the purposes of Chapter 16.51, calculations, including coefficients and other pertinent data, made to determine the drainage plan with flow rates of water g",
or,17.20.030,3,0,17.zoning.txt,"17.20.020, 17.20.030 Reserved.",
or,19.1007,3,0,19.300.base-zones.txt,"Upon receipt of the final development plan and program, phasing plan, and preliminary plat, where applicable, notice shall be given and the Planning Commission ",
or,19.162.020,3,0,19.30.txt 19.65.txt,"a. A minimum front setback is not required, except as necessary to comply with the vision clearance standards in FMC 19.162.020.",
or,19.403,3,0,19.500.supplementary.txt,"The installation of a solar energy system on an historic resource that is designated either ""contributing"" or ""significant,"" per Section 19.403, shall follow th",
or,19.490.400,3,0,19.65.txt,j. Food cart pods                                                                                                                                               ,
or,19.609,3,0,19.500.supplementary.txt,d. See Section 19.609 for bicycle parking requirements.,
or,19.911.4,3,0,19.300.base-zones.txt 19.500.supplementary.txt,"A Type II variance per Subsection 19.911.4.A, to further increase this lot coverage allowance, is prohibited.",
or,197,3,0,16.12.definitions.txt 19.30.txt 4.planning.txt,Urban growth boundary adopted pursuant to ORS Chapter 197.,
or,215,3,0,39.efu.txt,Oregon Revised Statutes Chapter 215 and the,
or,27,3,0,19.300.base-zones.txt 25.willamette-historic.txt,"Any use which has a primary function of storing, utilizing, or manufacturing explosive materials or other hazardous material as defined by the Oregon Fire Code,",
or,33.930.100,3,0,33.110.txt 33.120.txt,width for a cottage cluster is measured as lot width is measured. See 33.930.100.,
or,39.4778,3,0,39.lr-10.txt 39.lr-5.txt 39.lr-7.txt,Provisions (MCC 39.4778 through 39.4786),
or,39.7020,3,0,39.efu.txt,MCC 39.7015 and MCC 39.7020:,
or,5.010,3,0,rldo.composite.txt 3.zoning-districts.txt,Section 5.010.  Land Use.           All land within the city of Rivergrove is zoned residential.  The,
or,50.04.003.7,3,0,50.04.dimensional.txt,"The setbacks set forth in LOC § 50.04.001 may be adjusted or excepted by LOC § 50.05.010.4.b (Sensitive Lands Setback Modifications), LOC § 50.04.003.3 (General",
or,504,3,0,16.12.definitions.txt 33.910.definitions.txt 39.cfu.txt,"For the purposes of this Code, a disabled person is a person who has a condition of physical or mental disability which substantially limits one or more major l",
or,58,3,0,02.definitions.txt 25.willamette-historic.txt,Design exception. A discretionary decision to permit modification of a design standard or an alternative to a standard within Chapter 58 CDC (Willamette Falls D,
or,6.0500,3,0,4.0100.residential.txt 3.0100.definitions.txt,with Section 6.0500.,
or,6.150,3,0,4.planning.txt rldo.composite.txt,Section 6.150.  Revision.  An approved Future Street and Public Facilities Plan may be revised,
or,7.0000,3,0,4.1100.downtown.txt 4.1200.civic-neighborhood.txt 7.0500.rockwood-design.txt,in Section 7.0000 for the determination of consistency with the guidelines and/or standards contained in this Code.,
or,7.0003,3,0,4.0400.corridor.txt,which meet the thresholds described in Section 7.0003 will help to ensure that new buildings become,
or,706,3,0,zdo.1012.txt zdo.202.definitions.txt,"Habitat Conservation Areas regulated by Section 706, Habitat Conservation Area District (HCAD); and",
or,845.02,3,0,zdo.845.txt,"Exemptions: Subsections 845.02 through 845.04 do not apply to middle housing created through a conversion of the following, provided the conversion does not add",
or,845.03,3,0,zdo.845.txt,A porch meeting the standards of Subsection 845.03(B)(2)(d).,
or,847,3,0,zdo.315.txt zdo.202.definitions.txt,DWELLING: A building that contains one or more dwelling units. A dwelling may be a residential trailer or a manufactured dwelling but not a recreational vehicle,
or,9.010,3,0,rldo.composite.txt 8.development-standards.txt,the public improvements as required by §6.160( c) and Section 9.010 of this,
or,9.0822,3,0,4.1100.downtown.txt 4.1200.civic-neighborhood.txt 7.0400.middle-housing-design.txt,vehicular                                                    and pedestrian                                          required by Section 9.0822          (A)(8).,
or,9.0840,3,0,4.1100.downtown.txt 4.1200.civic-neighborhood.txt 7.0500.rockwood-design.txt,pedestrian areas. Enclosing and                                                                                  area dimensions can be found in Section 9.0840 ,
or/clackamas/_unincorporated,1003,3,0,zdo.1012.txt,"Mass movement hazards regulated by Section 1003, Hazards to Safety;",
or/clackamas/_unincorporated,706,3,0,zdo.1012.txt zdo.202.definitions.txt,"Habitat Conservation Areas regulated by Section 706, Habitat Conservation Area District (HCAD); and",
or/clackamas/_unincorporated,845.03,3,0,zdo.845.txt,A porch meeting the standards of Subsection 845.03(B)(2)(d).,
